code,site
BT8,Brent - ARK Franklin Primary Academy
BT6,Brent - John Keble Primary School
CT4,City of London - Beech Street
CT3,City of London - Sir John Cass School
CT8,City of London - Upper Thames Street
CT6,City of London - Walbrook Wharf
EI3,Ealing - Acton Vale
EA6,Ealing - Hanger Lane Gyratory
EI1,Ealing - Western Avenue
GR7,Greenwich - Blackheath
HK6,Hackney - Old Street
HS4,Hounslow Chiswick
HS8,Hounslow Gunnersbury
LB5,Lambeth - Bondway Interchange
LB4,Lambeth - Brixton Road
LW5,Lewisham - Deptford
LW4,Lewisham - Loampit Vale
LW2,Lewisham - New Cross
RI2,Richmond Upon Thames - Barnes Wetlands
RI1,Richmond Upon Thames - Castelnau
SK6,Southwark - Elephant and Castle
SK8,Southwark - Tower Bridge Road
WAA,Wandsworth - Battersea
WAC,Wandsworth - Lavender Hill (Clapham Jct)
WA9,Wandsworth - Putney
WA7,Wandsworth - Putney High Street
WA8,Wandsworth - Putney High Street Facade
WMA,Westminster - Buckingham Palace Road
WMC,Westminster - Cavendish Square
GV2,Westminster - Duke Street (Grosvenor)
GV1,Westminster - Ebury Street (Grosvenor)
WMD,Westminster - Elizabeth Bridge
GV3,Westminster - Mount Street (Grosvenor)
WM6,Westminster - Oxford Street
WMB,Westminster - Oxford Street East
NB1,Westminster - Strand (Northbank BID)
